Tahun,Bulan,Data
2018,Januari,34
2018,Februari,27
2018,Maret,23
2018,April,178
2018,Mei,136
2018,Juni,33
2018,Juli,21
2018,Agustus,20
2018,September,14
2018,Oktober,188
2018,November,141
2018,Desember,45
2019,Januari,30
2019,Februari,25
2019,Maret,33
2019,April,195
2019,Mei,124
2019,Juni,36
2019,Juli,28
2019,Agustus,21
2019,September,19
2019,Oktober,221
2019,November,200
2019,Desember,39
2020,Januari,42
2020,Februari,32
2020,Maret,26
2020,April,185
2020,Mei,162
2020,Juni,39
2020,Juli,23
2020,Agustus,22
2020,September,22
2020,Oktober,175
2020,November,148
2020,Desember,44
2021,Januari,24
2021,Februari,28
2021,Maret,20
2021,April,125
2021,Mei,85
2021,Juni,29
2021,Juli,25
2021,Agustus,15
2021,September,18
2021,Oktober,142
2021,November,123
2021,Desember,60
2022,Januari,25
2022,Februari,20
2022,Maret,19
2022,April,83
2022,Mei,71
2022,Juni,25
2022,Juli,22
2022,Agustus,22
2022,September,16
2022,Oktober,125
2022,November,100
2022,Desember,34
