Tahun,Bulan,Data
2018,Januari,38
2018,Februari,22
2018,Maret,21
2018,April,321
2018,Mei,178
2018,Juni,34
2018,Juli,32
2018,Agustus,21
2018,September,20
2018,Oktober,278
2018,November,234
2018,Desember,72
2019,Januari,45
2019,Februari,31
2019,Maret,21
2019,April,235
2019,Mei,200
2019,Juni,47
2019,Juli,41
2019,Agustus,33
2019,September,21
2019,Oktober,254
2019,November,198
2019,Desember,76
2020,Januari,59
2020,Februari,40
2020,Maret,45
2020,April,201
2020,Mei,198
2020,Juni,79
2020,Juli,67
2020,Agustus,34
2020,September,25
2020,Oktober,244
2020,November,194
2020,Desember,67
2021,Januari,32
2021,Februari,25
2021,Maret,22
2021,April,141
2021,Mei,85
2021,Juni,47
2021,Juli,35
2021,Agustus,22
2021,September,21
2021,Oktober,165
2021,November,124
2021,Desember,56
2022,Januari,30
2022,Februari,22
2022,Maret,15
2022,April,135
2022,Mei,68
2022,Juni,27
2022,Juli,20
2022,Agustus,18
2022,September,12
2022,Oktober,157
2022,November,124
2022,Desember,60
