Tahun,Bulan,Data
2018,Januari,12
2018,Februari,9
2018,Maret,8
2018,April,35
2018,Mei,25
2018,Juni,11
2018,Juli,12
2018,Agustus,10
2018,September,9
2018,Oktober,55
2018,November,34
2018,Desember,14
2019,Januari,15
2019,Februari,11
2019,Maret,9
2019,April,49
2019,Mei,35
2019,Juni,14
2019,Juli,13
2019,Agustus,11
2019,September,9
2019,Oktober,59
2019,November,30
2019,Desember,18
2020,Januari,22
2020,Februari,13
2020,Maret,11
2020,April,45
2020,Mei,33
2020,Juni,25
2020,Juli,18
2020,Agustus,14
2020,September,11
2020,Oktober,75
2020,November,59
2020,Desember,14
2021,Januari,14
2021,Februari,10
2021,Maret,11
2021,April,42
2021,Mei,35
2021,Juni,18
2021,Juli,15
2021,Agustus,12
2021,September,10
2021,Oktober,60
2021,November,35
2021,Desember,16
2022,Januari,7
2022,Februari,6
2022,Maret,2
2022,April,18
2022,Mei,14
2022,Juni,8
2022,Juli,6
2022,Agustus,3
2022,September,2
2022,Oktober,15
2022,November,3
2022,Desember,10
