Tahun,Bulan,Data
2018,Januari,48
2018,Februari,35
2018,Maret,29
2018,April,270
2018,Mei,234
2018,Juni,97
2018,Juli,60
2018,Agustus,42
2018,September,34
2018,Oktober,369
2018,November,330
2018,Desember,56
2019,Januari,95
2019,Februari,65
2019,Maret,45
2019,April,285
2019,Mei,265
2019,Juni,154
2019,Juli,112
2019,Agustus,65
2019,September,54
2019,Oktober,395
2019,November,351
2019,Desember,145
2020,Januari,59
2020,Februari,48
2020,Maret,39
2020,April,265
2020,Mei,264
2020,Juni,102
2020,Juli,74
2020,Agustus,155
2020,September,41
2020,Oktober,399
2020,November,359
2020,Desember,84
2021,Januari,30
2021,Februari,25
2021,Maret,21
2021,April,178
2021,Mei,106
2021,Juni,25
2021,Juli,17
2021,Agustus,13
2021,September,8
2021,Oktober,247
2021,November,210
2021,Desember,35
2022,Januari,21
2022,Februari,25
2022,Maret,18
2022,April,95
2022,Mei,65
2022,Juni,24
2022,Juli,18
2022,Agustus,12
2022,September,15
2022,Oktober,104
2022,November,74
2022,Desember,55
