Tahun,Bulan,Data
2018,Januari,30
2018,Februari,25
2018,Maret,21
2018,April,167
2018,Mei,124
2018,Juni,23
2018,Juli,17
2018,Agustus,13
2018,September,8
2018,Oktober,256
2018,November,212
2018,Desember,24
2019,Januari,30
2019,Februari,25
2019,Maret,21
2019,April,170
2019,Mei,132
2019,Juni,25
2019,Juli,18
2019,Agustus,15
2019,September,10
2019,Oktober,245
2019,November,223
2019,Desember,23
2020,Januari,30
2020,Februari,35
2020,Maret,21
2020,April,167
2020,Mei,124
2020,Juni,23
2020,Juli,17
2020,Agustus,13
2020,September,8
2020,Oktober,256
2020,November,212
2020,Desember,24
2021,Januari,34
2021,Februari,35
2021,Maret,39
2021,April,180
2021,Mei,175
2021,Juni,55
2021,Juli,45
2021,Agustus,28
2021,September,23
2021,Oktober,174
2021,November,158
2021,Desember,74
2022,Januari,19
2022,Februari,17
2022,Maret,14
2022,April,44
2022,Mei,33
2022,Juni,12
2022,Juli,10
2022,Agustus,17
2022,September,12
2022,Oktober,52
2022,November,30
2022,Desember,14
