Tahun,Bulan,Data
2018,Januari,42
2018,Februari,29
2018,Maret,20
2018,April,230
2018,Mei,151
2018,Juni,43
2018,Juli,31
2018,Agustus,24
2018,September,20
2018,Oktober,259
2018,November,245
2018,Desember,78
2019,Januari,57
2019,Februari,43
2019,Maret,36
2019,April,201
2019,Mei,165
2019,Juni,76
2019,Juli,46
2019,Agustus,43
2019,September,32
2019,Oktober,356
2019,November,323
2019,Desember,150
2020,Januari,35
2020,Februari,31
2020,Maret,28
2020,April,155
2020,Mei,87
2020,Juni,32
2020,Juli,20
2020,Agustus,17
2020,September,11
2020,Oktober,190
2020,November,123
2020,Desember,65
2021,Januari,33
2021,Februari,21
2021,Maret,13
2021,April,145
2021,Mei,89
2021,Juni,34
2021,Juli,23
2021,Agustus,20
2021,September,17
2021,Oktober,201
2021,November,154
2021,Desember,87
2022,Januari,25
2022,Februari,20
2022,Maret,19
2022,April,80
2022,Mei,64
2022,Juni,24
2022,Juli,20
2022,Agustus,15
2022,September,11
2022,Oktober,84
2022,November,24
2022,Desember,24
