Tahun,Bulan,Data
2018,Januari,45
2018,Februari,37
2018,Maret,35
2018,April,299
2018,Mei,178
2018,Juni,56
2018,Juli,35
2018,Agustus,26
2018,September,15
2018,Oktober,322
2018,November,243
2018,Desember,58
2019,Januari,78
2019,Februari,61
2019,Maret,45
2019,April,321
2019,Mei,225
2019,Juni,95
2019,Juli,45
2019,Agustus,35
2019,September,29
2019,Oktober,396
2019,November,293
2019,Desember,159
2020,Januari,44
2020,Februari,35
2020,Maret,23
2020,April,198
2020,Mei,134
2020,Juni,63
2020,Juli,55
2020,Agustus,31
2020,September,22
2020,Oktober,267
2020,November,245
2020,Desember,80
2021,Januari,44
2021,Februari,35
2021,Maret,39
2021,April,321
2021,Mei,254
2021,Juni,66
2021,Juli,51
2021,Agustus,35
2021,September,23
2021,Oktober,287
2021,November,205
2021,Desember,84
2022,Januari,25
2022,Februari,18
2022,Maret,14
2022,April,52
2022,Mei,34
2022,Juni,12
2022,Juli,10
2022,Agustus,17
2022,September,12
2022,Oktober,70
2022,November,37
2022,Desember,15
