Tahun,Bulan,Data
2018,Januari,43
2018,Februari,29
2018,Maret,25
2018,April,340
2018,Mei,190
2018,Juni,45
2018,Juli,34
2018,Agustus,24
2018,September,21
2018,Oktober,305
2018,November,234
2018,Desember,71
2019,Januari,54
2019,Februari,34
2019,Maret,29
2019,April,245
2019,Mei,204
2019,Juni,47
2019,Juli,41
2019,Agustus,33
2019,September,21
2019,Oktober,254
2019,November,198
2019,Desember,76
2020,Januari,34
2020,Februari,35
2020,Maret,39
2020,April,321
2020,Mei,223
2020,Juni,54
2020,Juli,45
2020,Agustus,28
2020,September,23
2020,Oktober,222
2020,November,198
2020,Desember,82
2021,Januari,62
2021,Februari,47
2021,Maret,55
2021,April,321
2021,Mei,301
2021,Juni,102
2021,Juli,55
2021,Agustus,47
2021,September,45
2021,Oktober,325
2021,November,333
2021,Desember,102
2022,Januari,30
2022,Februari,24
2022,Maret,20
2022,April,84
2022,Mei,71
2022,Juni,35
2022,Juli,25
2022,Agustus,22
2022,September,17
2022,Oktober,135
2022,November,82
2022,Desember,35
