Tahun,Bulan,Data
2018,Januari,30
2018,Februari,2
2018,Maret,17
2018,April,170
2018,Mei,143
2018,Juni,26
2018,Juli,22
2018,Agustus,18
2018,September,12
2018,Oktober,185
2018,November,140
2018,Desember,41
2019,Januari,34
2019,Februari,35
2019,Maret,39
2019,April,234
2019,Mei,189
2019,Juni,54
2019,Juli,45
2019,Agustus,28
2019,September,23
2019,Oktober,267
2019,November,245
2019,Desember,80
2020,Januari,42
2020,Februari,32
2020,Maret,26
2020,April,185
2020,Mei,162
2020,Juni,39
2020,Juli,23
2020,Agustus,22
2020,September,22
2020,Oktober,165
2020,November,148
2020,Desember,44
2021,Januari,24
2021,Februari,28
2021,Maret,20
2021,April,125
2021,Mei,93
2021,Juni,29
2021,Juli,25
2021,Agustus,15
2021,September,18
2021,Oktober,123
2021,November,94
2021,Desember,62
2022,Januari,25
2022,Februari,15
2022,Maret,12
2022,April,65
2022,Mei,41
2022,Juni,21
2022,Juli,18
2022,Agustus,14
2022,September,12
2022,Oktober,84
2022,November,72
2022,Desember,29
