Tahun,Bulan,Data
2018,Januari,29
2018,Februari,33
2018,Maret,23
2018,April,98
2018,Mei,52
2018,Juni,11
2018,Juli,10
2018,Agustus,16
2018,September,12
2018,Oktober,123
2018,November,59
2018,Desember,25
2019,Januari,30
2019,Februari,25
2019,Maret,23
2019,April,187
2019,Mei,135
2019,Juni,31
2019,Juli,29
2019,Agustus,20
2019,September,15
2019,Oktober,234
2019,November,210
2019,Desember,39
2020,Januari,29
2020,Februari,24
2020,Maret,21
2020,April,101
2020,Mei,72
2020,Juni,43
2020,Juli,23
2020,Agustus,20
2020,September,18
2020,Oktober,123
2020,November,122
2020,Desember,45
2021,Januari,34
2021,Februari,35
2021,Maret,39
2021,April,201
2021,Mei,175
2021,Juni,54
2021,Juli,45
2021,Agustus,28
2021,September,23
2021,Oktober,174
2021,November,158
2021,Desember,74
2022,Januari,30
2022,Februari,28
2022,Maret,22
2022,April,75
2022,Mei,42
2022,Juni,12
2022,Juli,10
2022,Agustus,15
2022,September,13
2022,Oktober,101
2022,November,42
2022,Desember,25
