Tahun,Bulan,Data
2018,Januari,5
2018,Februari,5
2018,Maret,2
2018,April,16
2018,Mei,10
2018,Juni,7
2018,Juli,6
2018,Agustus,2
2018,September,3
2018,Oktober,17
2018,November,12
2018,Desember,6
2019,Januari,8
2019,Februari,5
2019,Maret,2
2019,April,20
2019,Mei,11
2019,Juni,7
2019,Juli,6
2019,Agustus,2
2019,September,3
2019,Oktober,18
2019,November,13
2019,Desember,5
2020,Januari,10
2020,Februari,4
2020,Maret,3
2020,April,21
2020,Mei,13
2020,Juni,7
2020,Juli,6
2020,Agustus,10
2020,September,9
2020,Oktober,34
2020,November,23
2020,Desember,11
2021,Januari,13
2021,Februari,10
2021,Maret,19
2021,April,35
2021,Mei,21
2021,Juni,12
2021,Juli,9
2021,Agustus,9
2021,September,8
2021,Oktober,35
2021,November,24
2021,Desember,11
2022,Januari,6
2022,Februari,5
2022,Maret,2
2022,April,19
2022,Mei,13
2022,Juni,8
2022,Juli,6
2022,Agustus,3
2022,September,2
2022,Oktober,17
2022,November,3
2022,Desember,7
