Tahun,Bulan,Data
2018,Januari,78
2018,Februari,54
2018,Maret,34
2018,April,198
2018,Mei,243
2018,Juni,111
2018,Juli,78
2018,Agustus,55
2018,September,34
2018,Oktober,370
2018,November,345
2018,Desember,91
2019,Januari,78
2019,Februari,54
2019,Maret,34
2019,April,299
2019,Mei,287
2019,Juni,152
2019,Juli,78
2019,Agustus,52
2019,September,31
2019,Oktober,401
2019,November,378
2019,Desember,152
2020,Januari,85
2020,Februari,77
2020,Maret,123
2020,April,321
2020,Mei,231
2020,Juni,165
2020,Juli,102
2020,Agustus,66
2020,September,43
2020,Oktober,398
2020,November,391
2020,Desember,123
2021,Januari,82
2021,Februari,66
2021,Maret,54
2021,April,321
2021,Mei,301
2021,Juni,120
2021,Juli,60
2021,Agustus,54
2021,September,45
2021,Oktober,360
2021,November,344
2021,Desember,134
2022,Januari,35
2022,Februari,29
2022,Maret,25
2022,April,170
2022,Mei,142
2022,Juni,69
2022,Juli,38
2022,Agustus,27
2022,September,24
2022,Oktober,174
2022,November,158
2022,Desember,59
