Tahun,Bulan,Data
2018,Januari,45
2018,Februari,40
2018,Maret,39
2018,April,314
2018,Mei,188
2018,Juni,55
2018,Juli,37
2018,Agustus,28
2018,September,19
2018,Oktober,379
2018,November,278
2018,Desember,78
2019,Januari,34
2019,Februari,35
2019,Maret,39
2019,April,321
2019,Mei,199
2019,Juni,54
2019,Juli,45
2019,Agustus,28
2019,September,23
2019,Oktober,267
2019,November,245
2019,Desember,80
2020,Januari,62
2020,Februari,42
2020,Maret,33
2020,April,222
2020,Mei,187
2020,Juni,67
2020,Juli,56
2020,Agustus,34
2020,September,32
2020,Oktober,342
2020,November,245
2020,Desember,58
2021,Januari,28
2021,Februari,22
2021,Maret,18
2021,April,123
2021,Mei,78
2021,Juni,31
2021,Juli,28
2021,Agustus,15
2021,September,12
2021,Oktober,156
2021,November,98
2021,Desember,45
2022,Januari,35
2022,Februari,30
2022,Maret,28
2022,April,254
2022,Mei,154
2022,Juni,57
2022,Juli,39
2022,Agustus,32
2022,September,22
2022,Oktober,314
2022,November,265
2022,Desember,80
