Tahun,Bulan,Data
2018,Januari,28
2018,Februari,31
2018,Maret,21
2018,April,121
2018,Mei,54
2018,Juni,13
2018,Juli,210
2018,Agustus,9
2018,September,10
2018,Oktober,122
2018,November,43
2018,Desember,35
2019,Januari,30
2019,Februari,25
2019,Maret,21
2019,April,158
2019,Mei,125
2019,Juni,29
2019,Juli,23
2019,Agustus,13
2019,September,8
2019,Oktober,187
2019,November,134
2019,Desember,24
2020,Januari,23
2020,Februari,22
2020,Maret,18
2020,April,89
2020,Mei,167
2020,Juni,23
2020,Juli,17
2020,Agustus,13
2020,September,8
2020,Oktober,189
2020,November,178
2020,Desember,39
2021,Januari,34
2021,Februari,35
2021,Maret,39
2021,April,198
2021,Mei,172
2021,Juni,56
2021,Juli,45
2021,Agustus,28
2021,September,23
2021,Oktober,182
2021,November,165
2021,Desember,74
2022,Januari,28
2022,Februari,31
2022,Maret,21
2022,April,95
2022,Mei,44
2022,Juni,11
2022,Juli,9
2022,Agustus,9
2022,September,10
2022,Oktober,102
2022,November,40
2022,Desember,31
