Tahun,Bulan,Data
2018,Januari,30
2018,Februari,35
2018,Maret,20
2018,April,134
2018,Mei,87
2018,Juni,34
2018,Juli,22
2018,Agustus,19
2018,September,17
2018,Oktober,169
2018,November,67
2018,Desember,25
2019,Januari,48
2019,Februari,34
2019,Maret,25
2019,April,198
2019,Mei,157
2019,Juni,39
2019,Juli,22
2019,Agustus,19
2019,September,17
2019,Oktober,299
2019,November,182
2019,Desember,55
2020,Januari,40
2020,Februari,31
2020,Maret,26
2020,April,123
2020,Mei,156
2020,Juni,32
2020,Juli,20
2020,Agustus,17
2020,September,15
2020,Oktober,154
2020,November,130
2020,Desember,66
2021,Januari,24
2021,Februari,18
2021,Maret,14
2021,April,74
2021,Mei,56
2021,Juni,24
2021,Juli,18
2021,Agustus,11
2021,September,10
2021,Oktober,102
2021,November,69
2021,Desember,26
2022,Januari,20
2022,Februari,16
2022,Maret,12
2022,April,33
2022,Mei,14
2022,Juni,15
2022,Juli,14
2022,Agustus,8
2022,September,8
2022,Oktober,51
2022,November,35
2022,Desember,21
