Tahun,Bulan,Data
2018,Januari,10
2018,Februari,9
2018,Maret,6
2018,April,30
2018,Mei,25
2018,Juni,12
2018,Juli,12
2018,Agustus,14
2018,September,11
2018,Oktober,50
2018,November,30
2018,Desember,12
2019,Januari,20
2019,Februari,23
2019,Maret,19
2019,April,124
2019,Mei,54
2019,Juni,11
2019,Juli,10
2019,Agustus,10
2019,September,13
2019,Oktober,112
2019,November,53
2019,Desember,32
2020,Januari,20
2020,Februari,29
2020,Maret,23
2020,April,75
2020,Mei,42
2020,Juni,12
2020,Juli,8
2020,Agustus,17
2020,September,14
2020,Oktober,99
2020,November,58
2020,Desember,25
2021,Januari,22
2021,Februari,113
2021,Maret,11
2021,April,40
2021,Mei,30
2021,Juni,25
2021,Juli,18
2021,Agustus,14
2021,September,11
2021,Oktober,75
2021,November,56
2021,Desember,14
2022,Januari,12
2022,Februari,10
2022,Maret,8
2022,April,21
2022,Mei,18
2022,Juni,10
2022,Juli,8
2022,Agustus,12
2022,September,12
2022,Oktober,48
2022,November,29
2022,Desember,12
