Tahun,Bulan,Data
2018,Januari,30
2018,Februari,31
2018,Maret,21
2018,April,138
2018,Mei,79
2018,Juni,23
2018,Juli,20
2018,Agustus,12
2018,September,10
2018,Oktober,189
2018,November,78
2018,Desember,46
2019,Januari,30
2019,Februari,25
2019,Maret,21
2019,April,167
2019,Mei,124
2019,Juni,23
2019,Juli,17
2019,Agustus,16
2019,September,10
2019,Oktober,256
2019,November,212
2019,Desember,24
2020,Januari,30
2020,Februari,25
2020,Maret,21
2020,April,124
2020,Mei,104
2020,Juni,23
2020,Juli,17
2020,Agustus,13
2020,September,8
2020,Oktober,247
2020,November,210
2020,Desember,22
2021,Januari,44
2021,Februari,35
2021,Maret,39
2021,April,321
2021,Mei,254
2021,Juni,66
2021,Juli,51
2021,Agustus,35
2021,September,23
2021,Oktober,284
2021,November,205
2021,Desember,84
2022,Januari,35
2022,Februari,29
2022,Maret,25
2022,April,168
2022,Mei,135
2022,Juni,64
2022,Juli,35
2022,Agustus,26
2022,September,20
2022,Oktober,168
2022,November,155
2022,Desember,54
