Tahun,Bulan,Data
2018,Januari,48
2018,Februari,34
2018,Maret,25
2018,April,198
2018,Mei,157
2018,Juni,39
2018,Juli,22
2018,Agustus,19
2018,September,17
2018,Oktober,311
2018,November,173
2018,Desember,56
2019,Januari,54
2019,Februari,42
2019,Maret,41
2019,April,354
2019,Mei,245
2019,Juni,56
2019,Juli,35
2019,Agustus,26
2019,September,15
2019,Oktober,325
2019,November,258
2019,Desember,68
2020,Januari,53
2020,Februari,34
2020,Maret,30
2020,April,222
2020,Mei,187
2020,Juni,67
2020,Juli,56
2020,Agustus,34
2020,September,32
2020,Oktober,278
2020,November,214
2020,Desember,48
2021,Januari,25
2021,Februari,13
2021,Maret,10
2021,April,36
2021,Mei,23
2021,Juni,16
2021,Juli,12
2021,Agustus,12
2021,September,10
2021,Oktober,36
2021,November,24
2021,Desember,15
2022,Januari,20
2022,Februari,15
2022,Maret,8
2022,April,22
2022,Mei,18
2022,Juni,12
2022,Juli,11
2022,Agustus,8
2022,September,7
2022,Oktober,24
2022,November,19
2022,Desember,12
