Tahun,Bulan,Data
2018,Januari,27
2018,Februari,31
2018,Maret,19
2018,April,101
2018,Mei,60
2018,Juni,15
2018,Juli,12
2018,Agustus,11
2018,September,11
2018,Oktober,113
2018,November,55
2018,Desember,21
2019,Januari,30
2019,Februari,25
2019,Maret,21
2019,April,124
2019,Mei,104
2019,Juni,23
2019,Juli,17
2019,Agustus,13
2019,September,8
2019,Oktober,247
2019,November,210
2019,Desember,24
2020,Januari,35
2020,Februari,31
2020,Maret,28
2020,April,123
2020,Mei,56
2020,Juni,32
2020,Juli,20
2020,Agustus,17
2020,September,15
2020,Oktober,154
2020,November,130
2020,Desember,66
2021,Januari,11
2021,Februari,8
2021,Maret,6
2021,April,21
2021,Mei,18
2021,Juni,10
2021,Juli,9
2021,Agustus,9
2021,September,8
2021,Oktober,20
2021,November,14
2021,Desember,8
2022,Januari,10
2022,Februari,8
2022,Maret,6
2022,April,17
2022,Mei,15
2022,Juni,8
2022,Juli,7
2022,Agustus,10
2022,September,10
2022,Oktober,32
2022,November,23
2022,Desember,10
