Tahun,Bulan,Data
2018,Januari,20
2018,Februari,23
2018,Maret,19
2018,April,98
2018,Mei,143
2018,Juni,11
2018,Juli,10
2018,Agustus,10
2018,September,13
2018,Oktober,87
2018,November,39
2018,Desember,32
2019,Januari,25
2019,Februari,24
2019,Maret,20
2019,April,121
2019,Mei,54
2019,Juni,13
2019,Juli,10
2019,Agustus,9
2019,September,10
2019,Oktober,122
2019,November,43
2019,Desember,35
2020,Januari,23
2020,Februari,21
2020,Maret,19
2020,April,83
2020,Mei,71
2020,Juni,22
2020,Juli,18
2020,Agustus,13
2020,September,8
2020,Oktober,111
2020,November,87
2020,Desember,24
2021,Januari,24
2021,Februari,18
2021,Maret,14
2021,April,81
2021,Mei,51
2021,Juni,24
2021,Juli,18
2021,Agustus,11
2021,September,10
2021,Oktober,124
2021,November,65
2021,Desember,16
2022,Januari,25
2022,Februari,18
2022,Maret,14
2022,April,55
2022,Mei,38
2022,Juni,16
2022,Juli,11
2022,Agustus,18
2022,September,15
2022,Oktober,64
2022,November,35
2022,Desember,24
