Tahun,Bulan,Data
2018,Januari,40
2018,Februari,28
2018,Maret,22
2018,April,221
2018,Mei,145
2018,Juni,44
2018,Juli,32
2018,Agustus,25
2018,September,23
2018,Oktober,234
2018,November,267
2018,Desember,80
2019,Januari,35
2019,Februari,24
2019,Maret,21
2019,April,198
2019,Mei,102
2019,Juni,34
2019,Juli,24
2019,Agustus,21
2019,September,19
2019,Oktober,213
2019,November,199
2019,Desember,110
2020,Januari,34
2020,Februari,29
2020,Maret,25
2020,April,187
2020,Mei,145
2020,Juni,45
2020,Juli,29
2020,Agustus,23
2020,September,21
2020,Oktober,234
2020,November,145
2020,Desember,45
2021,Januari,20
2021,Februari,16
2021,Maret,13
2021,April,112
2021,Mei,76
2021,Juni,30
2021,Juli,23
2021,Agustus,18
2021,September,15
2021,Oktober,186
2021,November,158
2021,Desember,87
2022,Januari,18
2022,Februari,18
2022,Maret,14
2022,April,47
2022,Mei,33
2022,Juni,12
2022,Juli,10
2022,Agustus,17
2022,September,12
2022,Oktober,55
2022,November,28
2022,Desember,15
