Tahun,Bulan,Data
2018,Januari,34
2018,Februari,33
2018,Maret,31
2018,April,201
2018,Mei,134
2018,Juni,33
2018,Juli,31
2018,Agustus,23
2018,September,15
2018,Oktober,245
2018,November,179
2018,Desember,38
2019,Januari,30
2019,Februari,25
2019,Maret,33
2019,April,215
2019,Mei,124
2019,Juni,36
2019,Juli,28
2019,Agustus,21
2019,September,19
2019,Oktober,220
2019,November,210
2019,Desember,37
2020,Januari,42
2020,Februari,32
2020,Maret,26
2020,April,185
2020,Mei,162
2020,Juni,39
2020,Juli,23
2020,Agustus,22
2020,September,22
2020,Oktober,175
2020,November,148
2020,Desember,45
2021,Januari,59
2021,Februari,48
2021,Maret,39
2021,April,265
2021,Mei,225
2021,Juni,102
2021,Juli,74
2021,Agustus,65
2021,September,49
2021,Oktober,376
2021,November,351
2021,Desember,102
2022,Januari,30
2022,Februari,28
2022,Maret,24
2022,April,187
2022,Mei,136
2022,Juni,30
2022,Juli,32
2022,Agustus,25
2022,September,16
2022,Oktober,215
2022,November,189
2022,Desember,46
