Tahun,Bulan,Data
2018,Januari,30
2018,Februari,28
2018,Maret,27
2018,April,199
2018,Mei,130
2018,Juni,31
2018,Juli,29
2018,Agustus,20
2018,September,15
2018,Oktober,234
2018,November,210
2018,Desember,26
2019,Januari,59
2019,Februari,45
2019,Maret,38
2019,April,314
2019,Mei,188
2019,Juni,55
2019,Juli,37
2019,Agustus,28
2019,September,19
2019,Oktober,389
2019,November,278
2019,Desember,78
2020,Januari,32
2020,Februari,29
2020,Maret,21
2020,April,180
2020,Mei,179
2020,Juni,43
2020,Juli,25
2020,Agustus,26
2020,September,25
2020,Oktober,160
2020,November,155
2020,Desember,54
2021,Januari,35
2021,Februari,28
2021,Maret,20
2021,April,130
2021,Mei,103
2021,Juni,33
2021,Juli,25
2021,Agustus,15
2021,September,18
2021,Oktober,142
2021,November,99
2021,Desember,72
2022,Januari,25
2022,Februari,15
2022,Maret,12
2022,April,61
2022,Mei,37
2022,Juni,23
2022,Juli,18
2022,Agustus,14
2022,September,12
2022,Oktober,74
2022,November,65
2022,Desember,29
