Tahun,Bulan,Data
2018,Januari,43
2018,Februari,29
2018,Maret,25
2018,April,221
2018,Mei,176
2018,Juni,45
2018,Juli,34
2018,Agustus,24
2018,September,21
2018,Oktober,278
2018,November,167
2018,Desember,50
2019,Januari,50
2019,Februari,45
2019,Maret,33
2019,April,223
2019,Mei,157
2019,Juni,39
2019,Juli,22
2019,Agustus,19
2019,September,17
2019,Oktober,303
2019,November,176
2019,Desember,59
2020,Januari,34
2020,Februari,35
2020,Maret,39
2020,April,223
2020,Mei,190
2020,Juni,54
2020,Juli,45
2020,Agustus,28
2020,September,23
2020,Oktober,199
2020,November,178
2020,Desember,74
2021,Januari,28
2021,Februari,22
2021,Maret,18
2021,April,102
2021,Mei,54
2021,Juni,31
2021,Juli,28
2021,Agustus,15
2021,September,12
2021,Oktober,125
2021,November,12
2021,Desember,44
2022,Januari,30
2022,Februari,25
2022,Maret,21
2022,April,132
2022,Mei,112
2022,Juni,40
2022,Juli,30
2022,Agustus,21
2022,September,20
2022,Oktober,155
2022,November,132
2022,Desember,33
