Tahun,Bulan,Data
2018,Januari,78
2018,Februari,54
2018,Maret,34
2018,April,198
2018,Mei,267
2018,Juni,101
2018,Juli,78
2018,Agustus,52
2018,September,31
2018,Oktober,370
2018,November,350
2018,Desember,89
2019,Januari,85
2019,Februari,69
2019,Maret,101
2019,April,223
2019,Mei,276
2019,Juni,123
2019,Juli,89
2019,Agustus,67
2019,September,43
2019,Oktober,398
2019,November,291
2019,Desember,123
2020,Januari,59
2020,Februari,48
2020,Maret,39
2020,April,265
2020,Mei,264
2020,Juni,102
2020,Juli,74
2020,Agustus,55
2020,September,49
2020,Oktober,376
2020,November,351
2020,Desember,89
2021,Januari,20
2021,Februari,16
2021,Maret,13
2021,April,112
2021,Mei,76
2021,Juni,30
2021,Juli,23
2021,Agustus,18
2021,September,15
2021,Oktober,152
2021,November,148
2021,Desember,87
2022,Januari,30
2022,Februari,25
2022,Maret,21
2022,April,112
2022,Mei,98
2022,Juni,35
2022,Juli,27
2022,Agustus,22
2022,September,20
2022,Oktober,150
2022,November,118
2022,Desember,33
