Tahun,Bulan,Data
2018,Januari,46
2018,Februari,24
2018,Maret,22
2018,April,246
2018,Mei,143
2018,Juni,50
2018,Juli,34
2018,Agustus,28
2018,September,19
2018,Oktober,297
2018,November,222
2018,Desember,67
2019,Januari,65
2019,Februari,55
2019,Maret,45
2019,April,256
2019,Mei,178
2019,Juni,80
2019,Juli,49
2019,Agustus,40
2019,September,31
2019,Oktober,396
2019,November,293
2019,Desember,159
2020,Januari,47
2020,Februari,39
2020,Maret,25
2020,April,198
2020,Mei,143
2020,Juni,63
2020,Juli,55
2020,Agustus,31
2020,September,22
2020,Oktober,267
2020,November,245
2020,Desember,80
2021,Januari,85
2021,Februari,77
2021,Maret,52
2021,April,301
2021,Mei,231
2021,Juni,165
2021,Juli,95
2021,Agustus,66
2021,September,43
2021,Oktober,355
2021,November,391
2021,Desember,126
2022,Januari,42
2022,Februari,22
2022,Maret,20
2022,April,234
2022,Mei,124
2022,Juni,45
2022,Juli,32
2022,Agustus,27
2022,September,22
2022,Oktober,220
2022,November,200
2022,Desember,72
