Tahun,Bulan,Data
2018,Januari,28
2018,Februari,31
2018,Maret,21
2018,April,199
2018,Mei,151
2018,Juni,11
2018,Juli,9
2018,Agustus,9
2018,September,10
2018,Oktober,120
2018,November,44
2018,Desember,35
2019,Januari,23
2019,Februari,21
2019,Maret,19
2019,April,92
2019,Mei,76
2019,Juni,29
2019,Juli,23
2019,Agustus,13
2019,September,8
2019,Oktober,109
2019,November,87
2019,Desember,24
2020,Januari,34
2020,Februari,28
2020,Maret,21
2020,April,134
2020,Mei,76
2020,Juni,23
2020,Juli,21
2020,Agustus,14
2020,September,11
2020,Oktober,123
2020,November,54
2020,Desember,33
2021,Januari,24
2021,Februari,18
2021,Maret,14
2021,April,81
2021,Mei,53
2021,Juni,24
2021,Juli,18
2021,Agustus,11
2021,September,10
2021,Oktober,124
2021,November,78
2021,Desember,26
2022,Januari,10
2022,Februari,8
2022,Maret,6
2022,April,24
2022,Mei,15
2022,Juni,8
2022,Juli,7
2022,Agustus,10
2022,September,10
2022,Oktober,42
2022,November,23
2022,Desember,12
